Rep Code,Route,Customer Code,Customer Name,SalesX,Sale,Lgsale,GP,GPX,Loggp,GppeX,Gpperc,Month
KAM,Collection,SIH-01,STAFF - SIHLE,194,194.00000000000003,5.267858159063328,0.52,0.52,-0.6539264674066639,0.0026804123711340207,0.0026804123711340207,May
KAM,Collection,ADR-01,STAFF ADRIANNHA,517,517.0,6.248042874508429,0.53,0.53,-0.6348782724359695,0.0010251450676982592,0.0010251450676982594,May
KAM,Collection,AND-01,STAFF ANAND PILLAY,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,May
KAM,Collection,BER-02,STAFF BERNIE,929,928.9999999999997,6.834108738813838,1.0,-0.44,0.0,-0.0004736275565123789,0.0,May
KAM,Collection,BET-01,STAFF -BETTY DLAMINI (local),-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,BHE-02,STAFF -BHEKI,0,2.718281828459045,1.0,1.0,0,0.0,-,0.0,May
KAM,Collection,BOU-03,STAFF BOURN,48,48.00000000000001,3.871201010907891,7.2,7.2,1.9740810260220096,0.15,0.15,May
KAM,Collection,BUH-01,STAFF -BUHLE NKABINI (SA IN TOUCH),-,2.718281828459045,1.0,1.0,-,0.0,-,0.0,May
KAM,Collection,CHA-14,STAFF CHARLENE,786,786.0,6.666956792429207,0.22,0.22,-1.5141277326297755,0.0002798982188295165,0.00027989821882951673,May
KAM,Collection,EST-03,STAFF ESTER,642,642.0,6.464588303689961,0.010000000000000004,0.01,-4.605170185988091,1.557632398753894e-05,1.5576323987538933e-05,May
KAM,Collection,EVE-05,STAFF EVANGELINE,417,417.0,6.0330862217988015,38.709999999999994,38.71,3.6560979645895566,0.09282973621103117,0.09282973621103116,May
KAM,Collection,KIM-01,STAFF KIM VAN NIEKERK,536,536.0,6.284134161070802,1.0,-1,0.0,-0.0018656716417910447,0.0,May
KAM,Collection,THE-43,STAFF -LIHLE ZONDI,118,118.00000000000004,4.770684624465665,1.0,-0.1,0.0,-0.0008474576271186442,0.0,May
KAM,Collection,LIN-05,STAFF LINDANI,93,93.00000000000003,4.532599493153256,0.3,0.3,-1.2039728043259361,0.0032258064516129032,0.0032258064516129024,May
KAM,Collection,LIN-04,STAFF LINESHNEE,1135,1135.0000000000005,7.034387929915503,1.0,-0.02,0.0,-1.762114537444934e-05,0.0,May
KAM,Collection,LUC-02,STAFF LUCAS,672,672.0,6.51025834052315,1.0,-0.82,0.0,-0.0012202380952380952,0.0,May
